"","boot","coef_main","coef_interact","aic","adj_r2"
"131",131,0.0086214384975799,-0.000679091476378741,-13206.7799296951,0.190613809770558
"132",132,0.00992256969807259,-0.000695246379648711,-11395.3540496707,0.172568703030261
"133",133,0.00870254349260654,-0.000726847780006108,-16871.1310511492,0.186153519636472
"134",134,0.0080047179615846,-0.000623056113550582,-20017.7866089758,0.22973942701334
"135",135,0.0100188736625434,-0.000670072399536684,-10460.5632957307,0.181218620551282
"136",136,0.00869810524698783,-0.000672473876774537,-9095.52595616721,0.15630540706181
"137",137,0.0111651445778226,-0.000872519228163175,-11162.2302194738,0.172151327688688
"138",138,0.00849773319774871,-0.000665203652177948,-7919.85911498337,0.153898917152701
"139",139,0.00816226638937812,-0.000568960292261362,-19053.8728799938,0.233658092268797
"140",140,0.00947552436811784,-0.000795026622012132,-12407.5032682642,0.200260653573193
"141",141,0.00595524759281378,-0.000455849826352163,-18203.1464997644,0.21775411054811
"142",142,0.00929316437745032,-0.00062266072207605,-14520.2819552506,0.193605684108685
"143",143,0.0122250753866052,-0.000893207466105252,-14185.3517165954,0.167932703283555
"144",144,0.00942759261196013,-0.00079869065401741,-10631.2086683063,0.172367648769473
"145",145,0.00880755012693001,-0.000561502623096947,-18672.9597178503,0.202513444285987
"146",146,0.00837584039426338,-0.000624970751068913,-9693.81304816765,0.166498338993257
"147",147,0.00823933893423219,-0.000567582010619969,-10435.7780921087,0.17805488165952
"148",148,0.00685051531323505,-0.000473647234622454,-10975.4518697571,0.158188520799892
"149",149,0.0109320591580945,-0.000802369106465329,-13893.1669255976,0.170604009902839
"150",150,0.00694468511813549,-0.000466737988556797,-13297.8086611287,0.174484890512332
"151",151,0.00795908213806813,-0.000660920839500963,-11780.1765360448,0.186014405549665
"152",152,0.0100274522549211,-0.000849530663197336,-16482.8937544635,0.204883081896929
"153",153,0.00841374520597177,-0.000564862713133307,-14997.7711291555,0.185049634122042
"154",154,0.0100457279003809,-0.000746757103329025,-18193.086274795,0.203521659351417
"155",155,0.00939003247836431,-0.000792750541240093,-9917.88295065069,0.158337697682394
"156",156,0.00837602703894692,-0.000499105974578015,-18521.9521130883,0.232494434606987
"157",157,0.00907411020583845,-0.000686549974355779,-11750.8529520206,0.172354347384661
"158",158,0.00817221359940951,-0.000602523018452485,-15205.4865294958,0.182562269781146
"159",159,0.00958486864656404,-0.000597672266846428,-20730.0670015629,0.206865548563714
"160",160,0.00859981442459058,-0.000613683477003391,-10579.3426954632,0.157768033759579
"161",161,0.00944296552745748,-0.000768616395207606,-14294.1239102005,0.169984596047664
"162",162,0.00908515247929759,-0.000631003495171835,-21593.0417419896,0.211080897131324
"163",163,0.00715002305737307,-0.000535058084786262,-12321.6453633588,0.171971318713418
"164",164,0.0087258518847047,-0.000637766522442221,-20279.0530623052,0.2230834849429
"165",165,0.007121366848989,-0.000533968169542025,-9627.16714374961,0.162573969006089
"166",166,0.00816597335919908,-0.000556873399244906,-19093.4753170166,0.206454499942547
"167",167,0.0103697646237333,-0.000744632624201582,-14283.7342363111,0.168863739738714
"168",168,0.0101351211887152,-0.000819861923694323,-11510.9560854817,0.190573318969481
"169",169,0.007976279598889,-0.000610184518098104,-20191.6125727725,0.209725797534092
"170",170,0.00763069637619535,-0.000560724000993746,-15351.8359517276,0.189173911067139
"171",171,0.00932079512452353,-0.000890488763074498,-12269.8276569828,0.193333767243948
"172",172,0.0057744379444774,-0.000334313991408154,-15494.5849502723,0.227610861548162
"173",173,0.00795552684679548,-0.000674648944953951,-8666.91122570818,0.169937759315993
"174",174,0.00665185613922037,-0.000460690221046526,-15856.7683657788,0.17919804013743
"175",175,0.00897074988854134,-0.000668441221094427,-11541.0416853656,0.191390863244354
"176",176,0.00936954628412018,-0.000640308616153013,-8268.93079127883,0.15151253581804
"177",177,0.0086140179943715,-0.000583043553114795,-17529.9576730143,0.196409551565387
"178",178,0.00968387481963936,-0.000799509366007133,-15259.8458940426,0.173239661483496
"179",179,0.00731043050848874,-0.000417789233032159,-17309.3468907649,0.184405564801961
"180",180,0.00951738975408691,-0.00065683472311717,-20666.4515926534,0.206460598794005
"181",181,0.00809460947869357,-0.000521078013774975,-19030.4602688871,0.191765951604261
"182",182,0.00556498486483094,-0.000413178202088723,-13374.2249324035,0.1902178691621
"183",183,0.00725277644152518,-0.000460962697537307,-15829.1263430733,0.182027333529897
"184",184,0.00856860948006394,-0.000721358483381674,-16253.9464451942,0.182557272962818
"185",185,0.00792485577776913,-0.000639568191113323,-6057.09845546465,0.134100303348267
"186",186,0.00871630536018938,-0.00061775111609962,-20805.4025121235,0.205722013396039
"187",187,0.0100643223405905,-0.000716247681417021,-7289.04929563245,0.154044334540956
"188",188,0.00640566818785122,-0.000316493023755322,-19729.6403531967,0.229668800877273
"189",189,0.00660064691177095,-0.000491286931725648,-14572.8580848324,0.191316767616496
"190",190,0.00987825949486122,-0.00065311229503628,-12239.0274158063,0.162179416398032
"191",191,0.0105927746708228,-0.000734010670365079,-10550.5655764924,0.174010318936119
"192",192,0.00831179173087564,-0.000719671251403958,-17715.685686535,0.18897242441848
"193",193,0.0102853957254162,-0.000753980827329513,-17027.0543913659,0.22892786241241
"194",194,0.00946255164351656,-0.000555260889010661,-20669.1776159549,0.211223454764689
"195",195,0.00827466062116301,-0.000562838956793189,-19259.5352886946,0.204464292054036
"196",196,0.00891515869891742,-0.000530564211201425,-11674.5080202408,0.192368695603078
"197",197,0.0100408107894151,-0.000607236079622994,-18792.4568249387,0.198471337168588
"198",198,0.00950956643675951,-0.000729582319013725,-8252.92500735345,0.157788707934144
"199",199,0.00771899407831802,-0.000614800241210643,-12510.7502082967,0.171144023447194
"200",200,0.0085255999517557,-0.000555151721069327,-11782.7992598263,0.178532365094448
"201",201,0.00778114224164495,-0.00058835640277536,-15998.3039805546,0.223759962033369
"202",202,0.00685731871195206,-0.000394221117446193,-11485.3875442991,0.164782034442321
"203",203,0.00812347742361418,-0.000700342333027885,-13530.7452567759,0.173212716268773
"204",204,0.0071995668332571,-0.000530638010697623,-15822.5939715911,0.204976734494984
"205",205,0.00815839670769677,-0.000659910061933583,-10272.2847926511,0.174156526391812
"206",206,0.00774282822976088,-0.000613870600023976,-22133.7412050664,0.21489009371358
"207",207,0.00823180651240252,-0.00038432092148895,-19144.9507584664,0.203908974104104
"208",208,0.00921225405739826,-0.000633299119911936,-20509.5552609911,0.226322287009895
"209",209,0.0084198563473522,-0.000468191913845729,-10690.4375572134,0.17013852596184
"210",210,0.00741910307993547,-0.000570272027080895,-10676.0933083224,0.172485809930385
"211",211,0.0102328022738987,-0.000712776845075025,-16723.2923287602,0.18382193596637
"212",212,0.00921041213823774,-0.000576390158483667,-16633.3225538689,0.228803785785832
"213",213,0.00755152934716504,-0.000533361590149505,-13065.0328050024,0.195972506565702
"214",214,0.00868746696770694,-0.000590634335803761,-13361.2244508767,0.159923684783291
"215",215,0.00760259269875476,-0.000558581276601294,-20974.7259884112,0.199063722987421
"216",216,0.00936075748209906,-0.000683097290398888,-12226.1372720846,0.161240422320191
"217",217,0.00842511820913282,-0.000573028627795908,-19884.4371431034,0.228833077680181
"218",218,0.0116351472177818,-0.0008730886833779,-15017.7533089842,0.192679358603586
"219",219,0.00628455773705388,-0.000333150803799914,-15403.5455363839,0.187809430326999
"220",220,0.00882080969850178,-0.000743244016896881,-10099.3935249991,0.156148500113729
"221",221,0.0108257202867879,-0.000883654328195291,-12935.7401976662,0.182039264222348
"222",222,0.00946471131736863,-0.000712480227064021,-15361.265178442,0.20703883677801
"223",223,0.00555407723226405,-0.000359285230175197,-15509.1439735382,0.180988720138296
"224",224,0.00875650846777471,-0.000598990824944658,-7967.7104104467,0.149035156134759
"225",225,0.00958931084499016,-0.000672228079273504,-16380.2073121925,0.192703253998545
"226",226,0.00954204314159039,-0.000651489459835221,-13056.3436838189,0.173299531625191
"227",227,0.0102778898749273,-0.000781464983867743,-11494.6458140241,0.166648403288002
"228",228,0.00873717803125864,-0.000660547435591684,-14791.14938838,0.174435876548891
"229",229,0.00685611777410193,-0.000401602352675523,-26165.9216927224,0.264940295965839
"230",230,0.00964250023503585,-0.000727970088298221,-18575.2226875844,0.228929773836772
"231",231,0.00900877355093974,-0.000593453665583941,-13713.2993311515,0.190255673075757
"232",232,0.00734591560160024,-0.000639251242310826,-13319.1212470522,0.18554988584141
"233",233,0.00789507826824042,-0.000681867163072122,-21422.454579462,0.230404448494572
