"","boot","coef_var","coef_interact"
"121",121,-0.137026852258043,0.00333765218111722
"122",122,-0.116504597633577,0.00252124388191134
"123",123,-0.0923918626624337,0.00176435766875197
"124",124,-0.122453601912437,0.00239410912658547
"125",125,-0.096133297747141,0.00162883210894332
"126",126,-0.105577185005564,0.00223787886405047
"127",127,-0.113469305775984,0.00200983701710482
"128",128,-0.126508737558655,0.00263768979070727
"129",129,-0.127321391996678,0.00262196047793288
"130",130,-0.118894945444451,0.00239438571814622
"131",131,-0.110201950417802,0.00233840415531435
"132",132,-0.105268777388325,0.00214330784612745
"133",133,-0.106856321659648,0.00180663937492879
"134",134,-0.091129939845402,0.00133201145332215
"135",135,-0.156503116495547,0.00366732805862177
"136",136,-0.107444664087529,0.00200261243038111
"137",137,-0.120141390228646,0.00227878590832841
