,region,time,iso,gdp_percapita_mean,gdp_percapita_std
14071,CUB.12_1,2005,CUB,3269.290875957619,1843.8531714771882
14072,CUB.12_1,2006,CUB,4219.40407060715,2449.745161461309
14073,CUB.12_1,2007,CUB,4387.548416540479,2365.733666569811
14074,CUB.12_1,2008,CUB,4402.826968117128,2598.87385094049
14075,CUB.12_1,2009,CUB,4402.798026723334,2567.800813173021
14076,CUB.12_1,2010,CUB,4710.391953330198,2835.65935922214
14077,CUB.12_1,2011,CUB,4762.31290220236,2787.686657182022
14078,CUB.12_1,2012,CUB,5103.658573639238,3238.365369667949
14079,CUB.12_1,2013,CUB,5391.597948925663,3401.2935530650057
14080,CUB.13_1,1992,CUB,2320.199360315084,1525.1605242732207
14081,CUB.13_1,1993,CUB,2184.9962359786928,1300.5075195867048
14082,CUB.13_1,1994,CUB,3015.0093599453403,2163.8660321353977
14083,CUB.13_1,1995,CUB,2912.2331284044444,1709.3638362565341
14084,CUB.13_1,1996,CUB,2342.459921815615,1378.117724392291
14085,CUB.13_1,1997,CUB,2318.431340392315,1414.4185294655695
14086,CUB.13_1,1998,CUB,2417.692625278258,1512.9876526952123
14087,CUB.13_1,1999,CUB,2516.1820668062983,1531.635125047082
14088,CUB.13_1,2000,CUB,2775.4122621600704,1735.7270051498417
14089,CUB.13_1,2001,CUB,2707.9300483499333,1521.628445250944
14090,CUB.13_1,2002,CUB,2673.404655904799,1490.2107725965802
14091,CUB.13_1,2003,CUB,2925.111956660616,1636.428784471976
14092,CUB.13_1,2004,CUB,3101.321538990917,2116.2606752778524
14093,CUB.13_1,2005,CUB,3294.5212446326364,2088.639833633879
14094,CUB.13_1,2006,CUB,3874.110797873054,2354.4063597598315
14095,CUB.13_1,2007,CUB,4249.164435541085,2790.604043123752
14096,CUB.13_1,2008,CUB,4382.811709498072,2775.6773825060377
14097,CUB.13_1,2009,CUB,4442.267073465224,2815.606759746254
14098,CUB.13_1,2010,CUB,4756.362344048334,2684.9701334197407
14099,CUB.13_1,2011,CUB,4779.690443675638,2778.816877741719
14100,CUB.13_1,2012,CUB,5253.070663734646,3375.1484142229706
14101,CUB.13_1,2013,CUB,5252.422703990546,3080.205212457498
14102,CUB.14_1,1992,CUB,2300.687840542984,1438.8384546957684
14103,CUB.14_1,1993,CUB,2238.7226969667618,1304.619712706649
14104,CUB.14_1,1994,CUB,2869.5069155989336,1682.447119016246
14105,CUB.14_1,1995,CUB,3103.226833053768,1885.2015863796807
14106,CUB.14_1,1996,CUB,2432.6236961194622,1419.940617387828
14107,CUB.14_1,1997,CUB,2353.9703309971774,1410.3757604193513
14108,CUB.14_1,1998,CUB,2425.652032335201,1558.9197468244238
14109,CUB.14_1,1999,CUB,2581.96370561828,1641.596045663035
14110,CUB.14_1,2000,CUB,2735.053043976969,1686.015356976876
14111,CUB.14_1,2001,CUB,2864.4309557505135,1764.4403159026035
14112,CUB.14_1,2002,CUB,2909.1685982089307,1710.1287704114673
14113,CUB.14_1,2003,CUB,3059.5229456098405,1859.4512218146008
14114,CUB.14_1,2004,CUB,3206.133055676604,1989.5362152223693
14115,CUB.14_1,2005,CUB,3266.4113621142806,1929.8248261975334
14116,CUB.14_1,2006,CUB,4081.801753821174,2369.609869526111
14117,CUB.14_1,2007,CUB,4404.061709046665,2588.809654233783
14118,CUB.14_1,2008,CUB,4392.440928027852,2840.7674803219566
14119,CUB.14_1,2009,CUB,4492.603313352655,2685.202547942761
14120,CUB.14_1,2010,CUB,4996.488570364464,2889.0985226371367
14121,CUB.14_1,2011,CUB,4971.219475546937,2941.888443207038
14122,CUB.14_1,2012,CUB,5199.239717603768,3144.1938131292504
14123,CUB.14_1,2013,CUB,5523.503546875831,3574.9769883381477
14124,CUB.15_1,1992,CUB,2381.441121528713,1601.9425572527273
14125,CUB.15_1,1993,CUB,2388.9475261249113,1488.891779734328
14126,CUB.15_1,1994,CUB,2790.409597608298,1604.1083998130434
14127,CUB.15_1,1995,CUB,3032.699103638896,1861.3693582204514
14128,CUB.15_1,1996,CUB,2479.8673559449094,1485.7960292165833
14129,CUB.15_1,1997,CUB,2364.832218455596,1408.0804861557783
14130,CUB.15_1,1998,CUB,2494.23187327043,1528.77999218456
14131,CUB.15_1,1999,CUB,2732.2181467257083,1597.8368470334135
14132,CUB.15_1,2000,CUB,2780.720667170196,1816.57908257101
14133,CUB.15_1,2001,CUB,2756.822812759289,1634.8049483342552
14134,CUB.15_1,2002,CUB,3044.7712072111044,1874.1690361789324
