,id,time,luminosity
251,AFG.12_1,2001,0.0388866385262447
252,AFG.12_1,2002,0.07777734791114962
253,AFG.12_1,2003,0.0611100386274378
254,AFG.12_1,2004,0.05555469796801712
255,AFG.12_1,2005,0.08888781166429123
256,AFG.12_1,2006,0.09999903485724568
257,AFG.12_1,2007,0.11666494344141837
258,AFG.12_1,2008,0.14444229006983958
259,AFG.12_1,2009,0.15555362275563422
260,AFG.12_1,2010,0.22221578223216376
261,AFG.12_1,2011,0.23332992586628257
262,AFG.12_1,2012,0.333332282882281
263,AFG.12_1,2013,0.39998585062599
264,AFG.13_1,1992,1.3157690749473716
265,AFG.13_1,1993,0.8947360360960065
266,AFG.13_1,1994,1.0263056704906102
267,AFG.13_1,1995,1.2631279823513548
268,AFG.13_1,1996,0.9999968559995253
269,AFG.13_1,1997,0.6578826833289838
270,AFG.13_1,1998,0.894732931999672
271,AFG.13_1,1999,0.23687641263436032
272,AFG.13_1,2000,0.4210460201533786
273,AFG.13_1,2001,0.31579382767510994
274,AFG.13_1,2002,0.7105216395787661
275,AFG.13_1,2003,0.5526304906795115
276,AFG.13_1,2004,0.7631465265440169
277,AFG.13_1,2005,0.999995323903428
278,AFG.13_1,2006,0.7631589431005588
279,AFG.13_1,2007,0.7105237762674075
280,AFG.13_1,2008,0.47368380769289087
281,AFG.13_1,2009,0.2631607974735321
282,AFG.13_1,2010,0.47368671020130976
283,AFG.13_1,2011,0.42106561270975773
284,AFG.13_1,2012,0.5263134513683304
285,AFG.13_1,2013,0.3157943114645583
286,AFG.14_1,1992,0.0
287,AFG.14_1,1993,0.0
288,AFG.14_1,1994,0.0
289,AFG.14_1,1995,0.0
290,AFG.14_1,1996,0.0
291,AFG.14_1,1997,0.0
292,AFG.14_1,1998,0.0
293,AFG.14_1,1999,0.0
294,AFG.14_1,2000,0.0
295,AFG.14_1,2001,0.0
296,AFG.14_1,2002,0.0
297,AFG.14_1,2003,0.0
298,AFG.14_1,2004,0.37494783687352384
299,AFG.14_1,2005,0.1875
300,AFG.14_1,2006,0.2500026113548177
301,AFG.14_1,2007,0.0
302,AFG.14_1,2008,0.499990268000648
303,AFG.14_1,2009,0.6249999997089158
304,AFG.14_1,2010,1.4999826120000903
305,AFG.14_1,2011,0.7500573261272927
306,AFG.14_1,2012,2.1250003420007757
307,AFG.14_1,2013,2.2500125064180896
308,AFG.15_1,1992,0.0864182923456681
309,AFG.15_1,1993,0.04938271604938271
310,AFG.15_1,1994,0.0
311,AFG.15_1,1995,0.0
312,AFG.15_1,1996,0.06172693432097674
313,AFG.15_1,1997,0.024691488527759826
314,AFG.15_1,1998,0.04321000707662786
315,AFG.15_1,1999,0.024695062524605463
316,AFG.15_1,2000,0.061729554035933124
317,AFG.15_1,2001,0.08641782299687216
318,AFG.15_1,2002,0.08024597494319034
319,AFG.15_1,2003,0.07407214398452648
320,AFG.15_1,2004,0.07407201348145802
321,AFG.15_1,2005,0.08024524005300442
322,AFG.15_1,2006,0.09876363252772927
323,AFG.15_1,2007,0.07407201348145802
324,AFG.15_1,2008,0.08641855335180504
325,AFG.15_1,2009,0.04938297705551965
326,AFG.15_1,2010,0.04938547750032446
